abundance	growth_rate	reactions	metabolites	taxon	tradeoff	sample_id
0.007854190072083994	0.0	1865	1169	AZC3J_1		sample_15
0.0007135701968816407	1.30990649174969	1963	1147	AZC3J_17		sample_15
0.141648626286256	0.0	2297	1380	AZC3J_18		sample_15
0.00011325523480521494	0.0	2377	1399	AZC3J_2		sample_15
0.0012564326700639044	0.0	1947	1196	AZC3J_20		sample_15
0.0008719668709654779	0.0	2428	1361	AZC3J_21		sample_15
0.017771277170410545	0.0	1963	1147	AZC3J_24		sample_15
0.0005092782432229449	0.0	837	609	AZC3J_25		sample_15
0.0017161052535162775	0.0	2048	1295	AZC3J_26		sample_15
0.0019047634126276342	0.0	950	731	AZC3J_27		sample_15
0.006359708903544805	0.0	1551	1007	AZC3J_28		sample_15
0.006423785644203916	0.0	2227	1378	AZC3J_29		sample_15
0.01332968555489243	0.0	1382	898	AZC3J_3		sample_15
0.00033945656676743075	0.0	1153	827	AZC3J_30		sample_15
0.031503717197778926	0.0	2289	1344	AZC3J_32		sample_15
0.002557513896998975	0.0	2675	1511	AZC3J_33		sample_15
0.026188872396707367	0.0	2428	1361	AZC3J_34		sample_15
0.001222408873234686	0.0	1277	878	AZC3J_36		sample_15
0.0005377741282022595	0.0	1945	1151	AZC3J_37		sample_15
0.0005787023237263088	0.0	1963	1147	AZC3J_39		sample_15
0.00167512029602844	0.0	1151	872	AZC3J_4		sample_15
0.001044265284077076	1.1679143873494482	1963	1147	AZC3J_40		sample_15
0.0007328427293141604	0.0	1963	1147	AZC3J_41		sample_15
0.0004920975304983178	0.0	1947	1196	AZC3J_43		sample_15
0.00016606928446581389	0.0	1345	900	AZC3J_44		sample_15
0.0028141036865264916	0.0	2456	1441	AZC3J_47		sample_15
0.014642707737274979	0.0	2227	1378	AZC3J_50		sample_15
0.0007990193278650446	0.0	1963	1147	AZC3J_51		sample_15
0.00926393598790277	0.0	1236	837	AZC3J_52		sample_15
0.0005951418514264231	0.0	1353	933	AZC3J_53		sample_15
0.0011508309079579031	0.0	1850	1234	AZC3J_54		sample_15
0.00956141985958598	0.0	1742	1110	AZC3J_55		sample_15
0.0042130649831407345	0.0	1176	780	AZC3J_57		sample_15
0.00016333337106100998	0.0	1183	803	AZC3J_58		sample_15
0.0005361879899747669	0.0	2675	1511	AZC3J_59		sample_15
0.005091536797906642	0.0	1948	1209	AZC3J_60		sample_15
0.007598891805936651	0.0	2377	1399	AZC3J_61		sample_15
0.3972201680828089	0.0	2550	1455	AZC3J_62		sample_15
0.00015705293311384758	0.0	2210	1305	AZC3J_63		sample_15
0.0016726278397153035	0.0	1138	765	AZC3J_64		sample_15
0.0025034746458345715	3.5724714645368163	2675	1511	AZC3J_65		sample_15
0.00030395297078291046	0.8920423402152853	2675	1511	AZC3J_67		sample_15
0.0006240993689877443	0.0	1170	812	AZC3J_68		sample_15
0.0003320240913876814	1.3657821430061479	2210	1305	AZC3J_69		sample_15
0.0043499795205840545	0.0	1052	719	AZC3J_70		sample_15
0.02181650627572151	0.0	2289	1344	AZC3J_74		sample_15
0.00030967869473595515	0.0	1448	976	AZC3J_75		sample_15
0.041012888712823777	0.0	2113	1300	AZC3J_76		sample_15
0.0005477380141821882	0.0	2327	1438	AZC3J_77		sample_15
0.0015588196933948924	0.0	2243	1348	AZC3J_78		sample_15
0.000604605757166297	0.0	1615	1080	AZC3J_8		sample_15
0.015346788249059787	0.0	1948	1209	AZC3J_80		sample_15
0.009439007938615854	0.0	2428	1361	AZC3J_81		sample_15
0.007282089958710763	0.0	2456	1441	AZC3J_82		sample_15
0.0011440819967187968	0.0	2048	1295	AZC3J_83		sample_15
0.0025815313892590067	0.0	2377	1399	AZC3J_86		sample_15
