,MAGs,abundance_high_fiber,growth_rate_high_fiber,abundance_western,growth_rate_western
0,AZC3J_18,0.1549607494486252,0.3072654176406704,0.1549607494486252,0.0722486585325225
1,AZC3J_24,0.0114995383185927,0.0228052420606782,0.0114995383185927,0.0056917733274671
2,AZC3J_27,0.0068403077190528,0.0135914692702347,0.0068403077190528,0.0032355828769281
3,AZC3J_28,0.006218841325073,0.0123309712286661,0.006218841325073,0.003052048993638
4,AZC3J_3,0.0114709392963258,0.0227454175460267,0.0114709392963258,0.005574565640565
5,AZC3J_32,0.0379703434565838,0.075303319544815,0.0379703434565838,0.0180654626717071
6,AZC3J_34,0.0170448566024136,0.0337991716053025,0.0170448566024136,0.0081933586053654
7,AZC3J_55,0.0061629286298545,0.0122197204864844,0.0061629286298545,0.0030498867074004
8,AZC3J_62,0.4854708130107556,0.9625924143914684,0.4854708130107556,0.2255364363024808
9,AZC3J_74,0.0298408303742182,0.0591783480690251,0.0298408303742182,0.0142987733134898
10,AZC3J_76,0.0384928379532804,0.0763540430692655,0.0384928379532804,0.0183097468805252
11,AZC3J_82,0.0069428143269533,0.0137679707906017,0.0069428143269533,0.0034350236340185
12,AZC3J_87,0.0529951129412343,0.1051219797218287,0.0529951129412343,0.0250030256361734
13,AZC3J_88,0.1061799755751496,0.210562531056116,0.1061799755751496,0.0496272857484739
14,AZC3J_89,0.0279091110218864,0.0553508264315498,0.0279091110218864,0.0133659639036503
15,AZC3J_1,0.0126707186334201,0.0360031941740998,0.0126707186334201,0.0098050928337605
16,AZC3J_18,0.1473224583659974,0.4185813978527917,0.1473224583659974,0.0982702957483658
17,AZC3J_24,0.0287946975033297,0.0818247940581601,0.0287946975033297,0.0198347369505371
18,AZC3J_27,0.0075041958802156,0.0213462634122978,0.0075041958802156,0.0050327979506082
19,AZC3J_29,0.0231776534357608,0.0658571055067618,0.0231776534357608,0.0157507524795996
20,AZC3J_3,0.0107351783127568,0.0305021219010109,0.0107351783127568,0.0080366597186951
21,AZC3J_32,0.0270653054839425,0.0769171226683843,0.0270653054839425,0.0188964395856785
22,AZC3J_34,0.0493275544050334,0.1401529568921137,0.0493275544050334,0.0332455142902507
23,AZC3J_39,0.0069286156821188,0.0196885324441233,0.0069286156821188,0.0053612483510734
24,AZC3J_41,0.0083135433910136,0.0236242634006235,0.0083135433910136,0.0063963688990795
25,AZC3J_57,0.0084770479386495,0.0240854678855874,0.0084770479386495,0.0060772869359467
26,AZC3J_62,0.387798539418295,1.1018420545728496,0.387798539418295,0.2577448856864444
27,AZC3J_65,0.0102685274957201,0.0291775455105052,0.0102685274957201,0.0076156628025999
28,AZC3J_74,0.0174218514547927,0.0495088875961161,0.0174218514547927,0.0126772860639697
29,AZC3J_76,0.0324843764776171,0.0923262644025524,0.0324843764776171,0.0225221045677597
30,AZC3J_81,0.0249852624955036,0.0709955128982902,0.0249852624955036,0.0171355173774059
31,AZC3J_82,0.0154003607705748,0.0437604096053338,0.0154003607705748,0.0109994195058029
32,AZC3J_87,0.1073685754865144,0.3050907892995759,0.1073685754865144,0.0718831063181853
33,AZC3J_88,0.0597421312331689,0.1697955833832306,0.0597421312331689,0.0405358232466555
