,MAGs,abundance_high_fiber,growth_rate_high_fiber,abundance_western,growth_rate_western
0,AZC3J_18,0.1954898626324415,0.2936358028375958,0.2147407231583757,0.0555243332636344
1,AZC3J_32,0.0434783910068939,0.0653136686834034,0.0394510337160217,0.0104598475435175
2,AZC3J_62,0.5482050488598599,0.8234211815429008,0.565264384792991,0.1457515922302259
3,AZC3J_74,0.0301091029319599,0.0452280697545467,0.0253945055061847,0.0068444285632932
4,AZC3J_76,0.0566020098369004,0.0850336045121975,0.0473500006280267,0.0124935473095668
5,AZC3J_88,0.0915047713249884,0.137464334344896,0.0870815529846893,0.0227148490271537
6,AZC3J_89,0.0346108134069558,0.0519917194061461,0.0207177992137104,0.0055837610228151
7,AZC3J_18,0.1901774483967382,0.2654873060921964,0.1954898626324415,0.0538778370250078
8,AZC3J_32,0.0450195055255202,0.0628595803021546,0.0434783910068939,0.0120675067577767
9,AZC3J_62,0.5752818636814072,0.8030711209533807,0.5482050488598599,0.1509309046217643
10,AZC3J_74,0.0209623106036849,0.0292674080692662,0.0301091029319599,0.0083563077936475
11,AZC3J_76,0.0403977051786286,0.0564180772783786,0.0566020098369004,0.0156813048321921
12,AZC3J_88,0.0941450923732882,0.1314867799704109,0.0915047713249884,0.0252804273994436
13,AZC3J_89,0.0340160742407327,0.0475012940920497,0.0346108134069558,0.009606090397925
14,AZC3J_18,0.1759268970747922,0.2636173223045155,0.1759268970747922,0.0483751474386821
15,AZC3J_32,0.0431077206902357,0.0646025822457219,0.0431077206902357,0.0120106377505501
16,AZC3J_62,0.5511548831381607,0.8258433276068728,0.5511548831381607,0.1513526708220958
17,AZC3J_74,0.0338782866793755,0.0507704909875291,0.0338782866793755,0.0094375617161856
18,AZC3J_76,0.0437009085514815,0.0655080356659215,0.0437009085514815,0.0121737260738706
19,AZC3J_88,0.1205460976465289,0.1806936862741654,0.1205460976465289,0.0332256193870131
20,AZC3J_89,0.0316852062194251,0.0474873273411995,0.0316852062194251,0.0088156232153255
21,AZC3J_18,0.2147407231583757,0.3022704903068209,0.1901774483967382,0.048809930653058
22,AZC3J_32,0.0394510337160217,0.0555333999549603,0.0450195055255202,0.0118107427632944
23,AZC3J_62,0.565264384792991,0.7956552012248361,0.5752818636814072,0.147104897958131
24,AZC3J_74,0.0253945055061847,0.0357452967906826,0.0209623106036849,0.0055319416148908
25,AZC3J_76,0.0473500006280267,0.0666545535151455,0.0403977051786286,0.0106362959539229
26,AZC3J_88,0.0870815529846893,0.1225859203291268,0.0941450923732882,0.024337206136991
27,AZC3J_89,0.0207177992137104,0.029162924199256,0.0340160742407327,0.0089770748263574
