gene,postFMT_2_ileum
gene_3340967,116
gene_3584313,108
gene_4225958,103
gene_4501438,102
gene_4316990,100
gene_3516854,96
gene_3001961,93
gene_2947127,92
gene_4108299,91
gene_3787930,91
gene_4622482,91
gene_4540942,91
gene_4016531,90
gene_3952247,89
gene_4561987,86
gene_3989023,85
gene_4284425,85
gene_4386762,84
gene_4334201,83
gene_3495998,83
gene_3993385,81
gene_4386171,81
gene_3818861,77
gene_4171501,77
gene_4387326,76
gene_3101065,76
gene_2928338,76
gene_3330827,76
gene_3764696,76
gene_3188931,76
gene_3210366,75
gene_3433148,75
gene_4419584,74
gene_4346856,74
gene_4036652,74
gene_3703198,74
gene_3260889,72
gene_3702322,72
gene_3364891,72
gene_2342657,71
gene_4627549,71
gene_3052838,70
gene_3585500,70
gene_4338190,69
gene_3859809,69
gene_3670427,69
gene_3919810,69
gene_2988422,68
gene_3888271,68
gene_3057548,68
gene_3250147,68
gene_3361691,67
gene_2912316,67
gene_3291045,67
gene_4339977,67
gene_3432174,66
gene_2850056,66
gene_3574173,66
gene_3630863,66
gene_3845823,66
gene_2478969,66
gene_4512024,66
gene_3544973,65
gene_3290868,65
gene_3371006,65
gene_3135983,65
gene_4423019,65
gene_3082022,65
gene_4508782,65
gene_3580147,65
gene_4218769,64
gene_4330949,64
gene_3616653,64
gene_3557724,64
gene_3196730,64
gene_4142584,64
gene_2095992,64
gene_4629613,64
gene_4253614,64
gene_4018366,63
gene_3790903,63
gene_4028544,63
gene_3440800,63
gene_4517226,63
gene_3613911,63
gene_3089759,63
gene_4282247,63
gene_3257034,63
gene_3652454,63
gene_3808459,63
gene_4316177,63
gene_4219067,63
gene_4007429,63
gene_4100199,63
gene_4495409,62
gene_3147171,62
gene_3730402,62
gene_3378237,62
gene_3847211,62
gene_4203264,62
gene_4470407,62
gene_3868912,62
gene_4414410,62
gene_3649150,61
gene_3365448,61
gene_4493590,61
gene_2485364,61
gene_3867259,61
gene_4420133,61
gene_4508783,61
gene_4264534,61
gene_3246467,61
gene_3750089,61
gene_3042080,60
gene_4346761,60
gene_3841170,60
gene_4307382,60
gene_3608730,60
gene_3393628,60
gene_4021122,60
gene_3347464,60
gene_3465828,60
gene_4513499,60
gene_3921369,59
gene_3136800,59
gene_4528138,59
gene_4274197,59
gene_3939091,59
gene_3896903,59
gene_4623567,58
gene_2646438,58
gene_3667044,58
gene_3658717,58
gene_3137781,58
gene_3210147,58
gene_3323454,58
gene_3347716,58
gene_4014806,58
gene_3384069,58
gene_4132721,58
gene_3947041,58
gene_2762987,57
gene_4021349,57
gene_4462425,57
gene_4436960,57
gene_4344959,57
gene_4032910,57
gene_2609743,57
gene_4281171,57
gene_3083162,57
gene_4316493,57
gene_4229339,57
gene_3567414,56
gene_3394445,56
gene_3746759,56
gene_3772239,56
gene_4164876,56
gene_4329853,56
gene_3037461,56
gene_3857775,56
gene_3904066,56
gene_3590518,56
gene_4585997,56
gene_4548882,56
gene_4147251,56
gene_4040662,56
gene_3581102,56
gene_3461286,56
gene_4036515,56
gene_4075667,56
gene_3318738,55
gene_4135100,55
gene_4346442,55
gene_3549943,55
gene_3363819,55
gene_4420630,55
gene_4617382,55
gene_1943947,55
gene_4499431,55
gene_3696813,55
gene_3721277,55
gene_4231947,55
