gene,noFMT_2_colon
gene_3340967,9023
gene_2947127,8289
gene_4622482,8176
gene_3516854,8158
gene_4501438,8150
gene_3584313,8137
gene_3952247,7961
gene_4561987,7955
gene_4016531,7781
gene_4225958,7765
gene_4108299,7732
gene_3703198,7631
gene_4386762,7590
gene_4316990,7567
gene_3330827,7457
gene_3433148,7442
gene_3787930,7347
gene_4284425,7271
gene_4386171,7144
gene_3135983,7089
gene_4419584,7061
gene_4036652,6997
gene_3989023,6983
gene_4334201,6920
gene_3993385,6895
gene_4338190,6855
gene_3859809,6838
gene_3101065,6836
gene_3001961,6738
gene_3210366,6681
gene_2342657,6673
gene_3260889,6621
gene_4387326,6598
gene_4346856,6592
gene_3557724,6576
gene_3364891,6547
gene_3613911,6516
gene_4171501,6499
gene_3432174,6478
gene_4330949,6449
gene_2912316,6432
gene_3574173,6405
gene_2850056,6346
gene_4508783,6342
gene_4627549,6337
gene_3290868,6277
gene_3083162,6250
gene_3702322,6227
gene_3616653,6210
gene_4540942,6190
gene_3147171,6168
gene_4021349,6155
gene_4512024,6149
gene_3257034,6130
gene_3052838,6126
gene_3371006,6107
gene_4423019,6085
gene_3246467,6064
gene_4420133,6043
gene_4344959,6013
gene_2646438,6002
gene_4203264,6001
gene_3082022,5975
gene_3580147,5974
gene_4495409,5972
gene_4629613,5971
gene_3652454,5922
gene_4264534,5918
gene_3495998,5915
gene_4346761,5912
gene_4528138,5907
gene_4508782,5892
gene_3549943,5862
gene_3868912,5832
gene_3291045,5830
gene_3361691,5819
gene_3461286,5818
gene_3658717,5805
gene_3790903,5802
gene_4028544,5798
gene_3630863,5789
gene_3365448,5775
gene_3196730,5771
gene_4253614,5769
gene_4219067,5757
gene_2928338,5750
gene_4147251,5737
gene_3808459,5712
gene_4316177,5702
gene_3764696,5693
gene_4007429,5691
gene_4218769,5668
gene_3867259,5652
gene_3544973,5626
gene_4470407,5603
gene_4401297,5596
gene_2095992,5590
gene_4517226,5585
gene_4508703,5565
gene_3904066,5564
gene_4623567,5554
gene_2762987,5551
gene_3649150,5544
gene_3857775,5542
gene_3057548,5530
gene_4100199,5529
gene_4055190,5521
gene_3393628,5521
gene_4025509,5514
gene_4513499,5513
gene_3824167,5508
gene_2988422,5496
gene_3939091,5495
gene_4634338,5493
gene_4040662,5473
gene_3670427,5471
gene_4410387,5470
gene_4229339,5467
gene_4282247,5460
gene_4489856,5457
gene_4164876,5453
gene_4466755,5447
gene_3919810,5446
gene_4281171,5435
gene_3841170,5435
gene_3347464,5428
gene_4075667,5426
gene_3590518,5425
gene_4499431,5423
gene_4420630,5420
gene_3210147,5417
gene_2891508,5416
gene_4274197,5412
gene_3567414,5406
gene_3842103,5403
gene_3347716,5397
gene_4021122,5393
gene_4135100,5387
gene_3042132,5383
gene_3772239,5381
gene_3585500,5376
gene_4346442,5369
gene_3465828,5348
gene_4617382,5347
gene_4339977,5344
gene_4203002,5343
gene_4234918,5331
gene_2803613,5329
gene_3608730,5302
gene_3818861,5294
gene_4158462,5283
gene_3384069,5282
gene_3845823,5280
gene_1943947,5250
gene_3750089,5244
gene_3891396,5242
gene_4032910,5235
gene_3251230,5234
gene_4539942,5217
gene_4307382,5216
gene_3394445,5214
gene_3101473,5207
gene_3445319,5181
gene_3037461,5170
gene_3896903,5166
gene_4172273,5161
gene_3363819,5148
gene_4274272,5145
gene_3721277,5139
gene_4462425,5138
gene_2609743,5135
gene_3323454,5132
gene_3667044,5117
gene_3042080,5110
gene_3581102,5095
gene_3862761,5092
gene_3318738,5086
gene_4408765,5079
gene_3803066,5069
gene_3612590,5068
gene_4014806,5051
gene_3730402,5029
gene_4492961,5023
gene_4453499,5019
gene_3191491,5019
gene_3615601,5011
gene_3746759,4975
gene_4309498,4974
gene_3470073,4969
gene_3273310,4969
gene_3911867,4966
gene_4316493,4962
gene_3188931,4943
gene_4406399,4924
gene_3862165,4921
gene_3869673,4921
gene_3048704,4921
gene_3473110,4918
gene_4501677,4906
gene_4406968,4900
gene_4135494,4893
gene_4106559,4893
gene_2762763,4892
gene_4410467,4887
gene_3947041,4886
gene_3888271,4865
gene_3305502,4849
gene_3295111,4844
gene_4041724,4839
gene_3792451,4838
gene_4595680,4832
gene_4633058,4824
gene_4287915,4821
gene_4279215,4816
gene_4304448,4811
gene_4484121,4796
gene_3440800,4789
gene_3395763,4771
gene_3967408,4767
gene_4046817,4761
gene_3213901,4756
gene_3176526,4750
gene_3705808,4749
gene_4036515,4748
gene_4467399,4745
gene_3555335,4742
gene_4320139,4735
gene_4305460,4720
gene_3696813,4714
gene_3968139,4662
gene_4220068,4659
gene_4147144,4651
gene_4546409,4640
gene_3876445,4639
gene_3701764,4635
gene_4258902,4617
gene_3588999,4613
gene_2657735,4608
gene_3335067,4599
gene_2485364,4597
gene_3471875,4592
gene_3572156,4586
gene_3569353,4585
gene_3969514,4567
gene_4420533,4563
gene_4612043,4562
gene_4329853,4553
gene_4443786,4518
gene_4529292,4517
gene_4534171,4498
gene_4420132,4496
gene_2217371,4493
gene_4632305,4491
gene_4050456,4484
gene_3036178,4481
gene_4493120,4481
gene_4108300,4478
gene_3149382,4475
gene_3767204,4465
gene_4433565,4455
gene_3929361,4451
gene_3250147,4448
gene_3536024,4445
gene_3147416,4442
gene_3762565,4440
gene_4414410,4428
gene_4485092,4427
gene_4436960,4423
gene_4489862,4423
gene_3638660,4421
gene_3016781,4420
gene_4253810,4409
gene_4540577,4404
gene_3209101,4400
gene_2837782,4396
gene_3600794,4386
gene_4320912,4386
gene_3970794,4385
gene_2905495,4369
gene_3685730,4363
gene_4403355,4362
gene_4222121,4357
gene_4566288,4355
gene_4044965,4341
gene_4606530,4335
gene_4432102,4333
gene_4633740,4329
gene_3576352,4329
gene_3241815,4314
gene_4216838,4303
gene_3178395,4297
gene_3587112,4294
gene_3651666,4277
