gene,postFMT_2_colon
gene_3340967,196
gene_3584313,183
gene_4501438,175
gene_4622482,172
gene_4316990,168
gene_4016531,168
gene_4225958,167
gene_3952247,166
gene_3516854,166
gene_4561987,161
gene_4108299,159
gene_4386762,159
gene_3787930,159
gene_2947127,158
gene_3001961,158
gene_3433148,156
gene_4386171,156
gene_4334201,155
gene_3330827,153
gene_4036652,152
gene_4284425,149
gene_4387326,147
gene_4171501,147
gene_4419584,147
gene_4338190,146
gene_3260889,146
gene_3859809,144
gene_3364891,144
gene_3989023,143
gene_3210366,142
gene_2342657,141
gene_3703198,140
gene_3135983,139
gene_4540942,139
gene_3432174,138
gene_4346856,137
gene_3993385,137
gene_3290868,134
gene_2928338,134
gene_4627549,133
gene_3557724,133
gene_4508783,133
gene_3616653,132
gene_3147171,132
gene_4512024,131
gene_3101065,131
gene_3052838,130
gene_3574173,129
gene_4264534,129
gene_3246467,128
gene_3544973,128
gene_3082022,128
gene_4420133,128
gene_3083162,128
gene_4021349,128
gene_4495409,128
gene_4508782,127
gene_3196730,127
gene_3495998,127
gene_3857775,127
gene_3613911,127
gene_4203264,127
gene_4528138,126
gene_3919810,126
gene_2850056,126
gene_4629613,125
gene_3580147,125
gene_4028544,125
gene_4330949,125
gene_4346761,124
gene_3868912,124
gene_4203002,124
gene_4100199,123
gene_3291045,123
gene_3361691,123
gene_4470407,122
gene_3365448,122
gene_3658717,121
gene_3652454,121
gene_3702322,121
gene_4339977,121
gene_4219067,121
gene_4316177,121
gene_3465828,120
gene_4410387,120
gene_3371006,120
gene_3818861,119
gene_3257034,119
gene_4513499,119
gene_4007429,119
gene_3764696,119
gene_3461286,119
gene_4401297,119
gene_4420630,118
gene_2095992,118
gene_3845823,118
gene_4517226,118
gene_4282247,118
gene_2646438,118
gene_3347464,118
gene_4344959,117
gene_3808459,117
gene_3393628,117
gene_2762987,117
gene_3057548,117
gene_3630863,117
gene_2912316,116
gene_3347716,116
gene_3790903,116
gene_4147251,116
gene_4218769,115
gene_1943947,115
gene_3394445,115
gene_4229339,115
gene_4021122,115
gene_3867259,115
gene_4032910,114
gene_3750089,114
gene_3549943,114
gene_4172273,113
gene_3772239,113
gene_2609743,113
gene_4489856,113
gene_3939091,113
gene_4423019,112
gene_4316493,112
gene_4539942,112
gene_3888271,112
gene_4253614,112
gene_3250147,112
gene_3585500,112
gene_4164876,112
gene_4499431,112
gene_3649150,112
gene_4040662,111
gene_3590518,111
gene_4055190,111
gene_4320139,111
gene_4346442,111
gene_3746759,111
gene_3670427,110
gene_3567414,110
gene_4075667,110
gene_3042132,110
gene_4025509,110
gene_2803613,110
gene_4274197,109
gene_3891396,109
