gene,noFMT_4_jejunum
gene_3584313,1421
gene_2947127,1325
gene_3787930,1295
gene_3340967,1237
gene_3516854,1203
gene_3952247,1186
gene_4501438,1141
gene_3101065,1133
gene_4561987,1130
gene_3703198,1129
gene_3670427,1127
gene_4225958,1122
gene_4386762,1069
gene_4622482,1064
gene_4540942,1057
gene_3330827,1053
gene_4108299,1046
gene_4423019,1034
gene_4016531,1028
gene_4386171,975
gene_3557724,965
gene_4284425,956
gene_3135983,954
gene_4330949,946
gene_3083162,944
gene_3764696,936
gene_3574173,934
gene_3495998,934
gene_2912316,930
gene_4316990,920
gene_3989023,909
gene_4253810,908
gene_4036652,902
gene_2988422,896
gene_4334201,886
gene_3730402,881
gene_4627549,873
gene_3750089,871
gene_3818861,871
gene_3052838,864
gene_3371006,861
gene_2850056,852
gene_3888271,851
gene_3859809,851
gene_4346856,850
gene_4171501,841
gene_3896903,840
gene_3433148,839
gene_4253614,829
gene_3384069,828
gene_3585500,827
gene_4281171,823
gene_3001961,822
gene_3188931,820
gene_3461286,815
gene_4419584,811
gene_4387326,808
gene_3257034,804
gene_4508783,802
gene_3613911,800
gene_4329853,799
gene_3210366,797
gene_4493120,793
gene_2342657,791
gene_3947041,790
gene_3919810,788
gene_4329657,781
gene_3361691,780
gene_3432174,778
gene_3057548,778
gene_2485364,774
gene_4420133,774
gene_3580147,773
gene_4512024,772
gene_4264534,770
gene_4338190,770
gene_4028544,764
gene_4617382,763
gene_4021349,761
gene_3993385,756
gene_3414790,753
gene_3868912,753
gene_4508703,751
gene_3934547,749
gene_3630863,748
gene_3364891,747
gene_2736174,746
gene_4436960,743
gene_4274197,743
gene_3291045,742
gene_2928338,742
gene_3724218,741
gene_4135100,740
gene_3904066,740
gene_3702322,739
gene_3440800,738
gene_4218769,738
gene_4495409,738
gene_3780972,738
gene_4333487,732
gene_3290868,732
gene_3845823,730
gene_3608730,730
gene_4229339,730
gene_3598423,725
gene_4517226,723
gene_4557870,717
gene_4346761,717
gene_3649150,716
gene_4492961,715
gene_3939091,715
gene_4508782,713
gene_2646438,711
gene_4339977,710
gene_3841170,708
gene_4346442,705
gene_4483277,704
gene_3260889,701
gene_2478969,701
gene_4414410,700
gene_3721277,698
gene_4634338,694
gene_2762987,693
gene_4453499,693
gene_3049061,692
gene_1924892,692
gene_3842103,692
gene_4055190,692
gene_2095992,691
gene_3147171,689
gene_4580872,688
gene_3473110,686
gene_4014806,682
gene_4307382,681
gene_3549943,680
gene_4420132,679
gene_4025509,678
gene_3555335,675
gene_3250147,674
gene_3264320,674
gene_4447285,673
gene_4484121,671
gene_4513499,670
gene_3575890,669
gene_3546772,668
gene_3728839,663
gene_3742710,663
gene_3673122,662
gene_3544973,661
gene_4142584,660
gene_3803066,656
gene_3191491,656
gene_4147144,656
gene_3824167,655
gene_4344959,654
gene_4065008,654
gene_3790903,653
gene_4287915,653
gene_3137781,652
gene_4629613,651
gene_4147251,651
gene_4100199,650
gene_4493590,648
gene_3847211,646
gene_2891508,645
gene_3511474,642
gene_4604030,642
gene_1873664,641
gene_4036360,641
gene_3246467,641
gene_3685730,640
gene_3616653,640
gene_3658717,640
gene_4401297,640
gene_4231947,639
gene_4410387,638
gene_3740128,637
gene_4622830,637
gene_3477059,635
gene_3089759,632
gene_3082022,628
gene_4033660,628
gene_3347464,628
gene_2583973,627
gene_3391546,626
gene_3762565,624
gene_3587112,624
