gene,postFMT_3_cecum
gene_3584313,176
gene_3787930,145
gene_4540942,143
gene_4501438,143
gene_3340967,140
gene_3952247,135
gene_3101065,134
gene_2947127,133
gene_3703198,131
gene_3495998,128
gene_3764696,125
gene_4225958,121
gene_4622482,119
gene_3516854,119
gene_4108299,118
gene_4316990,116
gene_3818861,116
gene_3052838,116
gene_4561987,115
gene_4423019,115
gene_4414410,114
gene_3188931,111
gene_3670427,110
gene_3001961,109
gene_4386762,109
gene_4016531,108
gene_3440800,108
gene_4386171,107
gene_2988422,107
gene_4171501,107
gene_2485364,106
gene_3384069,105
gene_3330827,105
gene_4284425,104
gene_3585500,104
gene_3750089,102
gene_4436960,100
gene_3730402,100
gene_3888271,100
gene_4036652,99
gene_3433148,99
gene_4329853,99
gene_4493120,99
gene_3989023,99
gene_2912316,99
gene_3135983,97
gene_4334201,97
gene_4627549,97
gene_3896903,96
gene_4033660,95
gene_3557724,95
gene_4333487,94
gene_4548882,94
gene_3083162,94
gene_3575890,94
gene_3947041,93
gene_4346856,93
gene_4338190,92
gene_4387326,91
gene_3371006,91
gene_4330949,90
gene_3988271,90
gene_3728839,90
gene_4307382,90
gene_3264320,89
gene_4419584,89
gene_3574173,89
gene_3724218,88
gene_3859809,87
gene_3919810,87
gene_2928338,87
gene_4512024,87
gene_3364891,86
gene_4622830,86
gene_4329657,85
gene_4253810,85
gene_2851782,84
gene_4617382,84
gene_4420133,84
gene_2342657,84
gene_4305320,83
gene_4281171,83
gene_3613911,83
gene_4169428,83
gene_3432174,83
gene_3210366,83
gene_3740128,82
gene_4253614,82
gene_3868912,82
gene_2478969,82
gene_3290868,82
gene_1924892,82
gene_2736174,82
gene_3993385,81
gene_3845823,81
gene_3414790,81
gene_2850056,81
gene_3257034,81
gene_4021349,81
gene_3702322,81
gene_2095992,80
gene_3847211,80
gene_3260889,80
gene_3250147,80
gene_4500981,80
gene_4493590,80
gene_4264534,80
gene_2953684,79
gene_4231947,79
gene_4508782,79
gene_3904066,79
gene_4447285,79
gene_3057548,79
gene_4604030,79
gene_3147171,78
gene_4513499,78
gene_3598423,78
gene_4495409,78
gene_3347464,78
gene_4426549,78
gene_4508703,78
gene_4274197,78
gene_3461286,77
gene_4339977,77
gene_3377575,77
gene_4025509,77
gene_3137781,77
gene_3291045,77
gene_4508783,77
gene_3393628,77
gene_4028544,77
gene_4274272,77
gene_3780972,76
gene_3580147,76
gene_3841170,75
gene_3608730,75
gene_4529375,75
gene_4132721,74
gene_4257777,74
gene_4053958,74
gene_3361691,74
gene_3544973,74
gene_3394445,74
gene_4135100,74
gene_4580872,73
gene_4633740,73
gene_4142584,73
gene_3921369,73
gene_3089759,73
gene_3378237,73
gene_4401297,73
gene_4014806,73
gene_4346761,73
gene_3082022,73
gene_3049061,72
gene_4557870,72
gene_2646438,72
gene_3546772,72
gene_3721277,72
gene_3911867,72
gene_4505036,72
gene_3630863,72
gene_4203264,72
gene_3790903,72
gene_3836959,71
gene_4219067,71
gene_4218769,71
gene_4055190,71
gene_3803066,71
gene_3658717,71
gene_3934547,71
gene_4528138,71
gene_4517226,71
gene_4453499,71
gene_3652454,71
gene_3649150,71
gene_3596412,70
gene_3203715,70
gene_3477059,70
gene_2891508,70
gene_3866419,70
gene_4585997,70
gene_3374861,70
gene_3036178,70
gene_4287915,70
gene_3246467,69
gene_2837782,69
gene_4043077,69
gene_4100199,69
gene_4492961,69
gene_4229339,69
gene_4489856,69
gene_4420132,69
gene_3939091,69
gene_4234918,69
gene_4147144,69
gene_3616653,69
gene_4629613,69
gene_4282247,68
gene_4484121,68
gene_3511474,68
gene_4392070,68
gene_2762987,68
gene_4147251,68
gene_3667044,68
gene_3742710,68
gene_3473110,67
gene_4222121,67
gene_3977405,67
gene_4179326,66
gene_3867259,66
gene_4007429,66
gene_3196730,66
gene_3549943,66
gene_4009128,66
gene_4346442,66
gene_3391546,66
gene_4410387,66
gene_4164876,66
gene_3042080,66
gene_4470407,66
gene_4606530,66
gene_4265553,65
gene_4634338,65
gene_3590518,65
gene_3136800,65
gene_4344959,65
gene_4040662,64
gene_4041724,64
gene_4383761,64
gene_4420630,64
gene_3615601,64
gene_3673122,64
gene_1943947,64
gene_3555335,64
gene_1873664,64
gene_3685730,64
gene_4316177,64
gene_3992728,64
gene_3470073,64
gene_3048704,64
gene_3471875,64
gene_4018366,64
gene_3824167,64
gene_3567414,64
gene_3808459,63
gene_4009535,63
gene_4089602,63
gene_3862165,63
gene_3101473,63
gene_4474926,63
gene_3191491,63
gene_4075667,62
gene_4520153,62
gene_3465828,62
gene_3365448,62
gene_3414630,62
gene_3318738,62
gene_4106559,62
gene_3842103,62
gene_4539942,62
gene_3363819,61
gene_4499699,61
gene_4090523,61
gene_4546409,61
gene_3251230,61
gene_4408765,61
gene_3323454,61
gene_3967408,61
gene_3545078,61
gene_4135494,61
gene_4499431,61
gene_2195471,61
gene_3616270,61
gene_4172273,61
gene_3857775,61
gene_4067681,61
gene_4485092,60
gene_3347716,60
gene_4065008,60
gene_3395763,60
gene_3986867,60
gene_3772239,60
gene_3875564,60
gene_3433147,60
gene_4021958,60
gene_4036360,60
gene_3221436,60
gene_4378487,60
gene_3891396,60
gene_4203002,60
gene_3331940,60
gene_2803613,60
gene_4406968,60
gene_4604285,60
gene_3042132,60
gene_3868655,59
gene_3762565,59
gene_3273310,59
gene_3792451,59
gene_4410467,59
gene_3208292,59
gene_3461831,59
gene_4474935,59
gene_2583973,59
gene_4437273,59
gene_3581102,59
gene_4483277,59
gene_4021122,59
gene_3213901,59
gene_3037461,58
gene_2609743,58
gene_4152129,58
gene_4320139,58
gene_2892854,58
gene_4466754,58
gene_4032910,58
gene_4633058,58
gene_3612590,58
gene_3700930,58
gene_4304448,58
gene_4466755,58
gene_2762763,58
gene_2905495,57
gene_4623567,57
gene_3445319,57
gene_4416358,57
gene_3209101,57
gene_4158462,57
gene_3862761,57
gene_2507054,57
gene_4534171,57
gene_3878529,57
gene_3572156,56
gene_4540214,56
gene_3335067,56
gene_4250014,56
gene_2560333,56
gene_4542711,56
gene_3352067,56
gene_3159664,56
gene_4529292,56
gene_4406399,56
gene_4252529,56
gene_4309498,56
gene_4483988,56
gene_3588999,56
gene_4044582,56
gene_4611458,56
gene_3210147,56
gene_3924911,56
gene_4316493,56
gene_3746759,55
gene_3705808,55
gene_4616863,55
gene_4632783,55
gene_4036515,55
gene_3385642,55
gene_3876445,55
gene_4258902,55
gene_3314169,55
gene_4046817,55
gene_4562190,55
gene_2657735,55
gene_3474526,55
gene_3696813,55
gene_4462425,55
gene_3896904,55
gene_3295111,55
gene_4436151,55
gene_4595680,55
gene_3305502,55
gene_4513875,54
gene_4634916,54
gene_4305460,54
gene_4330947,54
gene_3701764,54
gene_3211338,54
gene_3716832,54
gene_3656089,54
gene_4158416,54
gene_4542301,54
gene_4070299,54
gene_2489998,54
gene_4216341,54
gene_3147416,54
gene_2876811,54
gene_3087960,54
gene_3986306,54
gene_4151035,54
gene_4051738,54
gene_3534785,54
gene_3869673,54
HF-F_4_GL0312174,54
gene_3784095,54
gene_4367107,53
gene_2658890,53
gene_4494409,53
gene_3968139,53
gene_4346760,53
gene_4263639,53
gene_3991949,53
gene_4615338,53
gene_4443786,53
gene_3300666,53
gene_4139158,53
gene_3520790,53
gene_3793510,53
gene_4153442,53
gene_4467509,53
gene_3176526,53
gene_4044965,52
gene_3600794,52
gene_4598259,52
gene_4432102,52
gene_3241815,52
gene_3343755,52
gene_4419666,52
gene_4420533,52
gene_3452612,52
gene_3996218,52
gene_4566746,52
gene_4279215,52
gene_4489862,52
gene_4632305,52
gene_2688324,52
gene_4540577,52
gene_3790399,52
gene_4433565,51
gene_1796288,51
gene_4216701,51
gene_3277055,51
gene_3016781,51
gene_2938602,51
gene_4209155,51
gene_3576352,51
gene_3339741,51
gene_2902355,51
gene_2476697,51
gene_3569353,51
gene_4501677,51
gene_4023847,51
gene_4320912,51
gene_4095929,51
gene_2933446,51
gene_3149382,51
gene_3736960,50
gene_4299436,50
gene_4426836,50
gene_3789038,50
gene_4513576,50
gene_2382596,50
gene_2687372,50
gene_4495266,50
gene_4474117,50
gene_2217371,50
DSM22607_4_GL0340256,50
gene_3587112,50
gene_3945907,50
gene_2481200,50
gene_4034273,50
gene_3431941,50
gene_3942197,50
gene_4118449,50
gene_3720711,50
gene_3913077,50
gene_3252853,50
gene_4222118,49
gene_1958653,49
gene_3230397,49
gene_3675602,49
gene_4467399,49
gene_4358652,49
gene_2653875,49
gene_2588043,49
gene_4465933,49
gene_3631341,49
gene_4612043,49
gene_4502224,49
gene_3992196,49
gene_3758893,49
gene_3873906,49
gene_4317560,49
gene_3646316,49
gene_3649966,49
gene_3178395,49
gene_3913538,49
gene_3536024,49
gene_3940284,49
gene_4573738,48
gene_4504041,48
gene_4403355,48
gene_4155791,48
gene_3740383,48
gene_3729740,48
gene_3340960,48
gene_4099366,48
gene_4591505,48
gene_2651766,48
gene_3247777,48
gene_4382686,48
gene_4019895,48
