gene,postFMT_3_colon
gene_3340967,424
gene_3584313,410
gene_3516854,370
gene_4622482,368
gene_3952247,364
gene_4501438,359
gene_2947127,352
gene_4225958,351
gene_4386762,346
gene_3787930,344
gene_4561987,335
gene_3703198,333
gene_4016531,330
gene_4284425,330
gene_3989023,327
gene_4540942,321
gene_4386171,316
gene_3330827,315
gene_3101065,315
gene_4316990,313
gene_4036652,312
gene_4171501,311
gene_4334201,309
gene_3433148,300
gene_4108299,299
gene_3135983,299
gene_2912316,295
gene_2342657,293
gene_4419584,292
gene_4346856,292
gene_3495998,290
gene_3210366,287
gene_3001961,287
gene_3993385,284
gene_3557724,284
gene_3574173,284
gene_3919810,283
gene_3364891,283
gene_3702322,283
gene_4387326,282
gene_4627549,281
gene_4423019,280
gene_3083162,275
gene_3818861,275
gene_4330949,274
gene_3859809,272
gene_4420133,272
gene_3260889,271
gene_4338190,268
gene_3432174,268
gene_3670427,268
gene_3764696,267
gene_4512024,267
gene_2850056,266
gene_4508782,265
gene_3841170,264
gene_3257034,263
gene_3291045,262
gene_3290868,261
gene_2928338,260
gene_3613911,260
gene_3057548,258
gene_3888271,257
gene_4281171,257
gene_3461286,256
gene_4253614,256
gene_3052838,256
gene_4617382,255
gene_3347464,255
gene_3803066,255
gene_3868912,254
gene_3147171,253
gene_4021349,252
gene_4513499,252
gene_3371006,251
gene_4264534,251
gene_2646438,250
gene_3630863,249
gene_2095992,248
gene_3384069,247
gene_3616653,246
gene_3750089,245
gene_3361691,244
gene_4508783,244
gene_2988422,244
gene_3911867,243
gene_4218769,242
gene_4014806,242
gene_3188931,240
gene_3730402,240
gene_3652454,240
gene_3649150,240
gene_4508703,239
gene_3658717,238
gene_4495409,238
gene_4282247,238
gene_3082022,238
gene_4528138,238
gene_3904066,238
gene_3790903,237
gene_4274272,237
gene_4100199,237
gene_4028544,237
gene_3580147,237
gene_4410387,236
gene_3196730,236
gene_4339977,236
gene_2762987,235
gene_3845823,235
gene_4629613,234
gene_4344959,233
gene_3544973,233
gene_4135100,233
gene_4025509,232
gene_4203264,232
gene_4147251,232
gene_4489856,231
gene_4517226,231
gene_3365448,231
gene_3246467,231
gene_3896903,230
gene_3939091,230
gene_4055190,230
gene_3808459,229
gene_3549943,229
gene_4346761,229
gene_2891508,229
gene_4401297,228
gene_3608730,228
gene_3042080,228
gene_3585500,227
gene_4470407,227
gene_4007429,226
gene_3947041,225
gene_3857775,225
gene_4219067,223
gene_2478969,222
gene_4229339,222
gene_1943947,222
gene_2485364,222
gene_3394445,221
gene_3867259,221
gene_4493120,221
gene_3440800,220
gene_4316177,220
gene_4234918,220
gene_4147144,219
gene_4316493,218
gene_3393628,218
gene_4492961,218
gene_3465828,218
gene_3862165,218
gene_4420630,217
gene_3414790,216
gene_4164876,216
gene_4466755,216
gene_4623567,215
gene_4142584,215
gene_3250147,215
gene_4274197,214
gene_4346442,214
gene_4203002,214
gene_4307382,214
gene_4021122,214
gene_4040662,213
gene_3590518,213
gene_3445319,213
gene_3667044,213
gene_4032910,212
gene_3101473,212
gene_4075667,212
gene_3470073,211
gene_3042132,211
gene_3567414,211
gene_4329853,211
gene_2803613,210
gene_4436960,210
gene_3824167,210
gene_3724218,210
gene_2609743,209
gene_1924892,209
gene_4408765,209
gene_3210147,209
